"output_area","ALL PEOPLE","In an unshared dwelling","House or bungalow","     Detached","     Semi-detached","     Terraced (including end-terrace)","  Flat, maisonette or apartment","     In a purpose-built block of flats","     Part of a converted or shared house","     In a commercial building","  Caravan or other mobile or temporary structure","In a shared dwelling"
"60QA000348",80,80,80,0,80,0,0,0,0,0,0,0
"60QA000349",89,89,87,1,84,2,0,0,0,0,2,0
"60QA000350",102,102,99,3,96,0,3,3,0,0,0,0
"60QA000351",121,121,121,0,121,0,0,0,0,0,0,0
"60QA000352",108,108,108,13,95,0,0,0,0,0,0,0
"60QA000353",109,109,109,0,109,0,0,0,0,0,0,0
"60QA000354",105,105,105,66,34,5,0,0,0,0,0,0
"60QA000355",100,100,92,27,65,0,8,1,7,0,0,0
"60QA000356",164,164,164,34,126,4,0,0,0,0,0,0
"60QA000357",185,185,185,2,128,55,0,0,0,0,0,0
"60QA000358",166,166,166,4,162,0,0,0,0,0,0,0
"60QA000359",159,159,156,39,110,7,3,0,3,0,0,0
"60QA000360",109,109,106,8,70,28,3,2,0,1,0,0
"60QA000361",84,84,84,0,70,14,0,0,0,0,0,0
"60QA000362",100,100,100,13,68,19,0,0,0,0,0,0
"60QA000363",171,171,169,3,141,25,2,2,0,0,0,0
"60QA000364",155,155,148,6,133,9,7,7,0,0,0,0
"60QA000365",140,140,103,26,67,10,37,28,9,0,0,0
"60QA000366",67,67,46,12,27,7,21,21,0,0,0,0
"60QA000367",77,77,26,3,9,14,51,46,5,0,0,0
"60QA000368",57,57,28,1,6,21,29,29,0,0,0,0
"60QA000369",92,92,37,16,14,7,55,50,5,0,0,0
"60QA000370",158,158,158,43,86,29,0,0,0,0,0,0
"60QA000371",111,111,110,23,87,0,1,1,0,0,0,0
"60QA000372",103,103,103,36,67,0,0,0,0,0,0,0
"60QA000373",101,101,101,10,91,0,0,0,0,0,0,0
"60QA000374",119,119,98,6,92,0,21,19,2,0,0,0
"60QA000375",88,88,74,13,60,1,14,9,0,5,0,0
"60QA000376",144,144,139,24,115,0,5,5,0,0,0,0
"60QA000377",122,122,122,33,74,15,0,0,0,0,0,0
"60QA000378",92,92,91,0,87,4,1,1,0,0,0,0
"60QA000379",165,165,165,41,124,0,0,0,0,0,0,0
"60QA000380",70,70,52,0,42,10,18,18,0,0,0,0
"60QA000381",112,112,78,0,78,0,34,34,0,0,0,0
"60QA000382",101,101,72,2,45,25,29,29,0,0,0,0
"60QA000383",144,144,116,0,84,32,28,28,0,0,0,0
"60QA000384",112,112,5,1,0,4,107,103,4,0,0,0
"60QA000385",159,159,120,5,72,43,39,39,0,0,0,0
"60QA000386",132,132,105,12,60,33,27,6,21,0,0,0
"60QA000387",80,80,1,1,0,0,79,79,0,0,0,0
"60QA000388",95,95,1,0,1,0,94,94,0,0,0,0
"60QA000389",90,90,9,3,6,0,81,74,7,0,0,0
"60QA000390",104,104,13,4,9,0,91,91,0,0,0,0
"60QA000391",139,139,0,0,0,0,139,139,0,0,0,0
"60QA000392",117,117,11,3,0,8,106,106,0,0,0,0
"60QA000393",124,124,35,5,27,3,89,80,8,1,0,0
"60QA000394",68,68,3,0,1,2,65,65,0,0,0,0
"60QA000395",144,144,79,33,25,21,65,51,14,0,0,0
"60QA000396",136,136,134,8,126,0,2,2,0,0,0,0
"60QA000397",143,143,141,0,137,4,2,2,0,0,0,0
"60QA000398",82,82,82,0,80,2,0,0,0,0,0,0
"60QA000399",104,104,103,3,100,0,1,1,0,0,0,0
"60QA000400",194,194,194,4,190,0,0,0,0,0,0,0
"60QA000401",164,164,161,3,156,2,3,3,0,0,0,0
"60QA000402",103,103,101,69,32,0,2,2,0,0,0,0
"60QA000403",133,133,133,7,125,1,0,0,0,0,0,0
"60QA000404",127,127,123,61,24,38,4,4,0,0,0,0
"60QA000405",134,134,134,7,127,0,0,0,0,0,0,0
"60QA000406",96,96,77,64,12,1,19,11,6,2,0,0
"60QA000407",187,187,187,170,17,0,0,0,0,0,0,0
"60QA000408",176,176,176,46,125,5,0,0,0,0,0,0
"60QA000409",182,182,166,75,64,27,16,12,4,0,0,0
"60QA000410",102,102,102,24,77,1,0,0,0,0,0,0
"60QA000411",85,85,85,2,2,81,0,0,0,0,0,0
"60QA000412",101,101,54,0,5,49,47,43,1,3,0,0
"60QA000413",79,79,0,0,0,0,79,79,0,0,0,0
"60QA000414",75,75,2,0,1,1,73,71,2,0,0,0
"60QA000415",70,70,0,0,0,0,70,68,0,2,0,0
"60QA000416",128,128,26,0,6,20,102,102,0,0,0,0
"60QA000417",65,65,27,1,2,24,38,31,7,0,0,0
"60QA000418",93,93,89,7,21,61,4,4,0,0,0,0
"60QA000419",111,111,110,100,4,6,1,1,0,0,0,0
"60QA000420",64,64,10,0,1,9,54,52,2,0,0,0
"60QA000421",98,98,89,71,18,0,9,9,0,0,0,0
"60QA000422",81,81,72,0,7,65,9,9,0,0,0,0
"60QA000423",91,91,67,0,3,64,24,23,1,0,0,0
"60QA000424",114,114,105,71,34,0,9,5,4,0,0,0
"60QA000425",93,93,93,80,13,0,0,0,0,0,0,0
