"output_area","All people","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities not limited"
"S00089911",159,19,24,116
"S00089912",112,10,14,88
"S00089913",85,4,7,74
"S00089914",83,11,10,62
"S00089915",96,19,25,52
"S00089916",113,23,16,74
"S00089917",110,5,10,95
"S00089918",98,4,2,92
"S00089919",100,4,15,81
"S00089920",126,12,9,105
"S00089921",94,10,17,67
"S00089922",87,12,13,62
"S00089923",99,7,12,80
"S00089924",85,4,12,69
"S00089925",93,12,18,63
"S00089926",120,9,10,101
"S00089927",98,5,14,79
"S00089928",142,11,7,124
"S00089929",132,8,8,116
"S00089930",81,6,13,62
"S00089931",101,8,15,78
"S00089932",114,13,18,83
"S00089933",86,10,11,65
"S00089934",93,4,9,80
