"output_area","All people","Number of people born in: England","Number of people born in: Scotland","Number of people born in: Wales","Number of people born in: Northern Ireland","Number of people born in: Republic of Ireland","Number of people born in: Other EU countries","Number of people born: Elsewhere"
"60QA000545",91,1,87,0,1,0,0,2
"60QA000546",83,1,81,0,0,0,0,1
"60QA000547",87,6,80,0,0,0,0,1
"60QA000548",116,14,100,0,0,0,0,2
"60QA000549",94,6,81,0,0,0,1,6
"60QA000550",67,2,65,0,0,0,0,0
"60QA000551",65,2,60,1,0,0,0,2
"60QA000552",103,2,99,0,0,0,1,1
"60QA000553",150,12,133,1,0,0,0,4
"60QA000554",119,5,107,1,3,0,0,3
"60QA000555",95,6,87,0,0,0,1,1
"60QA000556",98,0,90,0,0,0,1,7
"60QA000557",83,0,80,0,1,0,0,2
"60QA000558",53,9,43,0,0,0,0,1
"60QA000559",106,12,88,1,1,0,0,4
"60QA000560",55,7,42,0,2,0,1,3
"60QA000561",128,9,116,0,1,0,0,2
"60QA000562",80,5,70,0,1,0,2,2
"60QA000563",118,8,105,0,0,0,2,3
"60QA000564",75,3,69,0,0,0,2,1
"60QA000565",137,9,122,1,0,1,1,3
"60QA000566",107,5,94,0,2,1,0,5
"60QA000567",87,3,79,1,2,0,0,2
"60QA000568",104,4,100,0,0,0,0,0
"60QA000569",75,3,68,0,0,0,1,3
"60QA000570",83,11,67,1,0,0,1,3
"60QA000571",157,12,138,0,1,1,1,4
"60QA000572",153,11,124,0,4,1,2,11
"60QA000573",129,11,110,1,1,1,0,5
"60QA000574",169,6,148,1,1,3,3,7
"60QA000575",112,5,98,0,1,1,2,5
"60QA000576",134,2,109,0,1,0,9,13
"60QA000577",128,12,106,0,2,2,4,2
"60QA000578",88,2,83,0,0,0,0,3
"60QA000579",96,9,76,2,1,0,0,8
"60QA000580",70,12,47,0,1,0,7,3
"60QA000581",84,4,74,0,1,0,2,3
"60QA000582",113,8,102,0,1,0,1,1
