"dz_2001","total","scotland","ruk","elsewhere"
"S01000853",554,507,30,17
"S01000854",846,781,31,34
"S01000855",716,648,59,9
"S01000856",512,459,35,18
"S01000857",507,459,35,13
"S01000858",910,802,76,32
"S01000859",1129,987,103,39
"S01000860",891,793,52,46
"S01000861",643,577,44,22
"S01000862",523,476,34,13
"S01000863",542,507,23,12
"S01000864",1172,1007,128,37
"S01000865",1080,945,81,54
"S01000866",853,784,48,21
"S01000867",895,796,68,31
"S01000868",703,630,34,39
"S01000869",595,540,34,21
"S01000870",865,766,46,53
"S01000871",818,741,56,21
"S01000872",798,680,100,18
"S01000873",3097,2569,384,144
"S01000874",496,449,34,13
"S01000875",1427,1208,180,39
"S01000876",681,577,68,36
"S01000877",675,588,63,24
"S01000878",554,480,65,9
"S01000879",945,680,207,58
"S01000880",787,678,89,20
"S01000881",642,585,43,14
"S01000882",887,765,90,32
"S01000883",813,701,87,25
"S01000884",590,503,53,34
"S01000885",480,400,62,18
"S01000886",649,556,60,33
"S01000887",723,627,78,18
"S01000888",661,562,54,45
"S01000889",686,595,64,27
"S01000890",748,661,55,32
"S01000891",924,687,148,89
"S01000892",541,349,149,43
"S01000893",625,421,172,32
"S01000894",493,420,53,20
"S01000895",916,756,119,41
"S01000896",485,320,136,29
"S01000897",680,413,243,24
"S01000898",526,366,144,16
"S01000899",829,635,167,27
"S01000900",627,391,221,15
"S01000901",605,441,150,14
"S01000902",943,670,233,40
"S01000903",1014,680,300,34
"S01000904",696,480,194,22
"S01000905",692,445,215,32
"S01000906",536,411,107,18
"S01000907",734,472,204,58
"S01000908",751,550,161,40
"S01000909",951,604,319,28
"S01000910",842,670,151,21
"S01000911",1034,684,309,41
"S01000912",653,451,186,16
"S01000913",611,377,201,33
"S01000914",701,374,295,32
"S01000915",900,610,258,32
"S01000916",1046,786,225,35
"S01000917",677,488,173,16
"S01000918",551,338,184,29
"S01000919",631,479,131,21
"S01000920",597,411,161,25
"S01000921",667,539,110,18
"S01000922",965,715,211,39
"S01000923",862,765,84,13
"S01000924",861,766,80,15
"S01000925",1005,703,270,32
"S01000926",1010,884,94,32
"S01000927",913,820,75,18
"S01000928",980,641,287,52
"S01000929",481,420,51,10
"S01000930",540,478,56,6
"S01000931",654,554,91,9
"S01000932",1027,807,184,36
"S01000933",1032,892,111,29
"S01000934",903,757,114,32
"S01000935",767,614,131,22
"S01000936",856,751,93,12
"S01000937",558,476,60,22
"S01000938",783,707,61,15
"S01000939",739,592,134,13
"S01000940",902,693,196,13
"S01000941",478,408,61,9
"S01000942",1018,764,213,41
"S01000943",830,687,123,20
"S01000944",837,677,132,28
"S01000945",739,606,117,16
"S01000946",775,675,85,15
"S01000947",687,615,62,10
"S01000948",844,641,170,33
"S01000949",610,440,152,18
"S01000950",825,537,243,45
"S01000951",861,665,133,63
"S01000952",876,700,166,10
"S01000953",874,658,197,19
"S01000954",1116,833,241,42
"S01000955",627,413,202,12
"S01000956",851,705,107,39
"S01000957",542,297,218,27
"S01000958",797,618,155,24
"S01000959",700,514,161,25
"S01000960",566,437,119,10
"S01000961",843,689,131,23
"S01000962",660,493,128,39
"S01000963",843,423,395,25
"S01000964",989,681,286,22
"S01000965",642,503,93,46
"S01000966",1086,929,133,24
"S01000967",578,459,84,35
"S01000968",1056,728,259,69
"S01000969",908,742,124,42
"S01000970",788,447,324,17
"S01000971",729,574,92,63
"S01000972",922,474,419,29
"S01000973",660,557,94,9
"S01000974",1227,968,225,34
"S01000975",647,467,160,20
"S01000976",507,343,153,11
