"dz_2001","total","non_catholic_christian","catholic_christian","jewish","muslim","none","other"
"S01000662",530,332,35,0,3,130,30
"S01000663",702,460,31,0,0,189,22
"S01000664",774,526,27,0,0,200,21
"S01000665",675,478,26,0,0,154,17
"S01000666",493,334,31,0,0,110,18
"S01000667",981,667,44,0,1,231,38
"S01000668",909,553,49,0,0,270,37
"S01000669",785,439,54,0,0,260,32
"S01000670",566,353,38,0,0,153,22
"S01000671",622,411,47,1,0,138,25
"S01000672",628,375,36,0,0,200,17
"S01000673",750,457,43,0,0,215,35
"S01000674",984,563,35,0,0,331,55
"S01000675",722,454,66,0,0,177,25
"S01000676",501,296,11,0,0,153,41
"S01000677",822,531,17,0,0,238,36
"S01000678",942,551,30,0,0,311,50
"S01000679",750,380,31,0,2,273,64
"S01000680",778,428,25,1,0,286,38
"S01000681",802,441,26,0,0,275,60
"S01000682",644,367,27,4,0,210,36
"S01000683",525,324,29,0,0,150,22
"S01000684",687,376,46,0,0,223,42
"S01000685",843,536,41,0,3,226,37
"S01000686",703,398,35,1,1,222,46
