dz_2001,total,none,one,two,three,four,numcar
S01005128,472,96,225,124,18,9,567
S01005129,403,82,198,99,20,4,476
S01005130,320,126,153,30,7,4,251
S01005131,420,75,216,105,18,6,508
S01005132,293,38,138,92,17,8,411
S01005133,182,12,65,76,18,11,321
S01005134,482,123,231,99,23,6,531
S01005135,353,70,152,110,14,7,443
S01005136,402,119,194,75,10,4,391
S01005137,414,24,168,154,52,16,701
S01005138,508,96,217,150,24,21,694
S01005139,300,35,146,81,30,8,444
S01005140,272,12,124,99,23,14,456
S01005141,399,52,189,121,25,12,565
S01005142,278,50,107,94,19,8,389
S01005143,537,151,260,100,22,4,550
S01005144,524,92,261,142,23,6,646
S01005145,351,56,169,92,24,10,475
S01005146,309,36,136,101,27,9,455
S01005147,396,26,199,126,32,13,618
S01005148,371,56,171,119,19,6,491
S01005149,288,74,116,75,18,5,344
S01005150,289,55,152,72,7,3,333
S01005151,298,75,105,88,21,9,383
S01005152,507,43,165,222,56,21,876
S01005153,363,47,146,142,21,7,532
S01005154,272,20,99,114,28,11,461
S01005155,288,54,123,83,20,8,381
S01005156,279,105,119,48,6,1,237
S01005157,388,158,173,44,12,1,302
S01005158,301,85,120,71,19,6,343
S01005159,408,160,174,59,12,3,340
S01005160,493,197,204,79,10,3,409
S01005161,370,92,155,100,19,4,428
S01005162,448,212,165,63,7,1,316
S01005163,277,118,107,43,8,1,223
S01005164,382,125,159,84,12,2,371
S01005165,364,134,166,54,10,0,304
S01005166,438,207,162,57,11,1,313
S01005167,319,165,126,23,5,0,187
S01005168,286,58,103,106,16,3,375
S01005169,238,48,102,68,17,3,301
S01005170,311,42,127,114,23,5,448
S01005171,348,160,148,32,6,2,238
S01005172,515,46,205,234,26,4,769
S01005173,255,61,87,77,25,5,337
S01005174,339,192,109,29,7,2,196
S01005175,357,60,147,116,24,10,494
S01005176,367,212,114,36,5,0,201
S01005177,443,262,141,34,6,0,227
S01005178,413,145,188,62,17,1,367
S01005179,425,120,203,85,14,3,428
S01005180,357,27,185,119,20,6,508
S01005181,345,35,150,134,23,3,500
S01005182,387,222,125,34,6,0,211
S01005183,461,209,187,55,5,5,332
S01005184,366,204,130,25,7,0,201
S01005185,257,87,132,35,3,0,211
S01005186,423,176,184,51,7,5,327
S01005187,511,180,236,76,15,4,451
S01005188,356,20,126,169,31,10,600
S01005189,463,225,175,52,9,2,314
S01005190,371,47,162,132,19,11,531
S01005191,380,175,134,59,10,2,294
S01005192,492,100,228,134,22,8,601
S01005193,317,27,136,114,35,5,491
S01005194,283,105,132,37,5,4,237
S01005195,349,31,159,132,21,6,511
S01005196,352,182,122,40,8,0,226
S01005197,458,249,169,35,4,1,257
S01005198,385,41,194,111,29,10,548
S01005199,318,104,158,46,9,1,281
S01005200,244,44,127,62,8,3,287
S01005201,448,222,169,48,6,3,296
S01005202,412,175,166,59,8,4,324
S01005203,354,106,149,79,13,7,378
S01005204,214,26,110,61,14,3,286
S01005205,497,77,249,139,23,9,635
S01005206,410,70,167,135,27,11,564
S01005207,474,249,166,53,5,1,291
S01005208,309,177,104,23,3,2,168
S01005209,469,201,195,65,6,2,351
S01005210,632,406,200,25,1,0,253
S01005211,376,201,146,21,6,2,214
S01005212,295,58,166,61,6,4,322
S01005213,431,86,210,106,19,10,520
S01005214,560,321,195,35,8,1,309
S01005215,477,213,178,69,15,2,369
S01005216,363,160,133,61,8,1,284
S01005217,367,98,160,91,13,5,404
S01005218,548,321,179,36,12,0,287
S01005219,404,185,164,44,8,3,289
S01005220,347,128,159,53,5,2,288
S01005221,279,51,110,91,23,4,379
S01005222,256,104,98,45,9,0,215
S01005223,382,134,179,57,9,3,334
S01005224,269,26,105,120,13,5,404
S01005225,440,78,203,123,26,10,568
S01005226,212,62,99,38,10,3,217
S01005227,583,279,211,74,17,2,418
S01005228,360,19,126,160,34,21,646
S01005229,687,355,266,62,4,0,402
S01005230,386,92,176,98,17,3,436
S01005231,343,66,178,84,13,2,393
S01005232,687,397,229,54,7,0,358
S01005233,402,210,153,33,4,2,239
S01005234,682,174,368,122,12,6,674
S01005235,320,80,143,86,10,1,349
S01005236,527,146,246,113,15,7,545
S01005237,422,63,165,141,44,9,618
S01005238,373,102,155,89,25,2,416
S01005239,610,373,203,28,6,0,277
S01005240,539,313,188,36,0,2,277
S01005241,395,63,152,142,25,13,566
S01005242,722,475,204,39,2,2,297
S01005243,692,484,171,35,2,0,247
S01005244,353,35,167,122,24,5,503
S01005245,426,286,126,14,0,0,154
S01005246,570,379,164,26,1,0,219
S01005247,261,182,64,14,1,0,95
S01005248,428,258,149,18,1,2,196
S01005249,552,336,180,35,1,0,253
S01005250,516,312,179,25,0,0,229
S01005251,382,169,157,47,8,1,281
S01005252,242,121,100,17,3,1,147
S01005253,235,36,130,60,9,0,277
S01005254,421,174,180,59,8,0,322
S01005255,449,319,102,25,2,1,162
S01005256,335,46,150,112,15,12,476
S01005257,460,141,228,77,10,4,428
S01005258,412,68,204,114,20,6,517
S01005259,253,139,91,18,4,1,143
S01005260,367,215,123,24,3,2,188
S01005261,276,158,95,18,4,1,147
S01005262,606,213,286,95,7,5,517
S01005263,250,154,64,26,3,3,137
S01005264,332,159,139,30,3,1,212
S01005265,292,194,83,13,2,0,115
S01005266,415,209,150,50,3,3,271
S01005267,459,181,192,62,21,3,391
S01005268,842,512,287,38,3,2,380
S01005269,462,167,201,82,9,3,406
S01005270,449,80,203,137,25,4,568
S01005271,205,17,84,90,10,4,310
S01005272,268,188,69,9,2,0,93
S01005273,287,74,142,60,10,1,296
S01005274,448,252,176,17,3,0,219
S01005275,357,210,126,14,3,4,179
S01005276,360,180,143,29,6,2,233
S01005277,260,70,123,43,19,5,290
S01005278,402,163,177,53,9,0,310
S01005279,213,14,80,100,14,5,342
S01005280,407,224,142,35,6,0,230
S01005281,333,113,160,53,7,0,287
S01005282,364,211,125,26,2,0,183
S01005283,307,11,102,153,32,9,544
S01005284,372,220,123,29,0,0,181
S01005285,252,54,129,61,8,0,275
S01005286,319,18,118,153,20,10,529
S01005287,459,159,176,106,11,7,452
S01005288,359,181,129,41,7,1,236
S01005289,487,197,218,60,9,3,379
S01005290,309,100,138,58,11,2,299
S01005291,323,34,155,109,19,6,458
S01005292,362,211,117,29,4,1,191
S01005293,397,227,129,33,4,4,224
S01005294,232,19,66,121,21,5,392
S01005295,274,104,116,43,10,1,236
S01005296,289,11,82,149,39,8,529
S01005297,289,52,138,73,19,7,370
S01005298,393,34,123,177,35,24,684
S01005299,229,38,110,63,15,3,295
S01005300,392,19,186,159,21,7,600
S01005301,318,20,96,157,37,8,554
S01005302,470,203,188,67,11,1,359
S01005303,391,87,202,85,14,3,426
S01005304,293,39,154,83,15,2,373
S01005305,360,172,149,37,1,1,230
S01005306,324,21,129,139,28,7,519
S01005307,341,17,97,176,38,13,617
S01005308,240,134,83,22,1,0,130
S01005309,429,158,196,63,10,2,360
S01005310,543,248,230,49,13,3,386
S01005311,385,53,221,87,20,4,471
S01005312,487,111,221,131,18,6,564
S01005313,367,46,192,94,27,8,494
S01005314,192,18,68,71,22,13,329
S01005315,354,147,138,64,4,1,282
S01005316,379,83,187,92,15,2,424
S01005317,212,28,96,74,13,1,287
S01005318,273,92,132,36,9,4,247
S01005319,242,31,113,81,14,3,329
S01005320,278,60,119,82,15,2,336
S01005321,301,133,96,55,13,4,263
S01005322,797,187,362,227,17,4,888
S01005323,384,161,150,57,13,3,315
S01005324,425,181,185,48,10,1,315
S01005325,1096,248,568,250,27,3,1161
S01005326,452,249,154,46,2,1,256
S01005327,292,144,104,35,6,3,204
S01005328,506,280,196,24,3,3,273
S01005329,249,14,98,96,31,10,434
S01005330,344,146,140,49,8,1,266
S01005331,382,210,140,28,4,0,208
S01005332,252,58,110,66,16,2,298
S01005333,316,18,126,130,26,16,534
S01005334,455,80,192,165,16,2,581
S01005335,187,14,75,77,14,7,303
S01005336,239,53,107,66,9,4,282
S01005337,322,27,125,129,30,11,519
S01005338,175,4,43,101,24,3,329
S01005339,318,79,166,57,13,3,332
S01005340,211,26,82,79,23,1,313
S01005341,278,83,127,54,11,3,281
S01005342,309,77,160,59,11,2,319
S01005343,340,42,132,140,23,3,495
S01005344,311,94,137,67,11,2,312
S01005345,262,27,87,114,29,5,426
S01005346,270,9,101,107,41,12,488
S01005347,273,13,108,110,34,8,462
S01005348,403,118,173,95,14,3,417
S01005349,317,50,137,105,22,3,426
S01005350,282,18,119,108,31,6,452
S01005351,459,70,182,148,43,16,679
S01005352,401,130,187,65,18,1,377
S01005353,457,148,193,103,12,1,439
S01005354,329,28,140,132,21,8,503
S01005355,318,97,156,51,11,3,303
S01005356,282,27,124,99,24,8,432
S01005357,385,154,162,61,7,1,309
S01005358,367,95,174,73,19,6,401
S01005359,336,24,149,131,27,5,513
S01005360,304,24,121,125,28,6,480
S01005361,375,30,123,172,40,10,628
S01005362,385,86,193,86,11,9,446
S01005363,293,21,111,117,31,13,494
S01005364,399,20,153,161,44,21,696
S01005365,341,22,119,145,37,18,600
S01005366,301,48,150,75,19,9,411
S01005367,454,200,200,42,8,4,327
S01005368,331,127,161,36,5,2,256
S01005369,583,241,253,70,14,5,455
S01005370,397,97,195,86,14,5,431
S01005371,451,80,237,113,15,6,533
S01005372,513,205,246,48,12,2,386
S01005373,406,168,165,50,15,8,344
S01005374,512,192,242,62,13,3,420
S01005375,445,109,230,87,14,5,467
S01005376,479,127,242,89,16,5,490
S01005377,407,147,194,58,7,1,335
S01005378,324,127,156,35,4,2,250
S01005379,402,86,211,82,20,3,447
S01005380,297,112,133,42,7,3,252
S01005381,275,113,125,34,3,0,202
S01005382,306,113,145,39,6,3,254
S01005383,250,11,97,101,25,16,443
S01005384,396,6,142,184,42,22,733
S01005385,427,9,166,184,47,21,780
S01005386,320,34,166,96,20,4,436
S01005387,402,105,203,72,17,5,418
S01005388,337,72,169,69,21,6,398
S01005389,453,165,219,63,6,0,363
S01005390,373,96,189,72,14,2,383
S01005391,350,89,153,80,24,4,404
S01005392,381,29,189,123,35,5,573
S01005393,403,35,185,134,40,9,616
S01005394,365,22,135,153,43,12,627
S01005395,411,17,158,163,47,26,743
S01005396,324,17,140,121,30,16,544
S01005397,293,43,156,74,17,3,369
S01005398,437,70,190,141,29,7,590
S01005399,517,189,233,82,9,4,444
S01005400,472,150,214,90,13,5,454
S01005401,424,95,227,83,12,7,458
S01005402,506,98,238,136,27,7,627
S01005403,423,94,202,99,24,4,491
S01005404,445,30,197,156,42,20,732
S01005405,268,38,125,80,22,3,365
S01005406,269,58,128,65,13,5,334
S01005407,625,33,281,241,57,13,987
S01005408,296,70,141,70,12,3,331
S01005409,321,46,143,105,21,6,441
S01005410,450,22,201,159,48,20,762
S01005411,456,46,217,157,28,8,651
S01005412,462,89,227,116,25,5,554
S01005413,551,183,288,68,9,3,464
S01005414,465,85,206,139,26,9,602
S01005415,492,113,231,114,26,8,574
S01005416,515,171,266,61,10,7,459
S01005417,492,63,220,164,36,9,695
S01005418,538,64,241,197,24,12,777
S01005419,344,91,173,68,10,2,350
S01005420,316,34,176,85,17,4,414
S01005421,371,60,199,94,16,2,443
S01005422,398,95,191,92,13,7,442
S01005423,414,54,214,115,22,9,552
S01005424,369,83,159,90,27,10,464
S01005425,479,246,183,44,6,0,289
S01005426,377,184,144,38,7,4,258
S01005427,436,189,194,46,6,1,308
S01005428,493,149,233,91,17,3,479
S01005429,401,181,172,37,10,1,280
S01005430,266,64,112,80,9,1,303
S01005431,305,107,135,57,5,1,268
S01005432,371,115,199,50,5,2,323
S01005433,449,156,209,72,9,3,393
S01005434,450,194,200,37,17,2,333
S01005435,536,122,273,124,15,2,574
S01005436,463,128,198,110,22,5,505
S01005437,432,89,205,114,16,8,519
S01005438,340,92,163,63,18,4,361
S01005439,366,99,181,63,12,11,389
S01005440,536,31,233,193,59,20,884
S01005441,482,107,243,103,22,7,548
S01005442,764,36,278,358,74,18,1296
S01005443,540,87,240,170,33,10,725
S01005444,543,40,212,222,49,20,896
S01005445,461,90,189,127,41,14,627
S01005446,348,58,195,72,17,6,415
S01005447,388,73,171,124,16,4,483
S01005448,355,50,158,113,28,6,493
S01005449,402,11,152,176,52,11,712
S01005450,611,150,310,121,24,6,648
S01005451,415,92,174,121,22,6,509
S01005452,379,36,156,149,29,9,582
S01005453,366,63,197,86,13,7,439
S01005454,475,130,231,92,19,3,485
S01005455,508,194,224,71,16,3,430
S01005456,399,92,202,92,11,2,427
S01005457,457,147,217,78,9,6,428
S01005458,333,106,137,72,14,4,339
S01005459,383,19,139,167,40,18,670
S01005460,367,32,146,142,35,12,585
S01005461,329,19,142,118,30,20,555
S01005462,480,25,208,183,48,16,789
S01005463,260,39,110,87,14,10,370
S01005464,294,62,126,78,17,11,392
S01005465,277,43,128,82,16,8,375
S01005466,466,24,173,193,60,16,812
S01005467,233,27,109,71,18,8,339
S01005468,385,19,136,173,46,11,676
S01005469,419,29,208,135,33,14,637
S01005470,335,63,133,113,22,4,442
S01005471,301,24,102,135,31,9,508
S01005472,557,25,174,279,53,26,1012
S01005473,433,22,217,130,44,20,700
S01005474,457,145,206,70,25,11,468
S01005475,382,9,159,153,46,15,670
S01005476,347,10,88,192,41,16,662
S01005477,364,58,179,97,22,8,477
S01005478,386,102,194,69,13,8,414
S01005479,269,68,117,65,11,8,316
S01005480,576,34,237,218,66,21,975
S01005481,276,61,122,63,21,9,351
S01005482,297,12,125,109,41,10,514
S01005483,400,35,194,132,28,11,588
S01005484,245,30,117,65,27,6,357
S01005485,365,96,187,61,16,5,383
S01005486,428,136,185,89,9,9,426
S01005487,400,154,181,50,10,5,344
S01005488,329,88,162,59,11,9,349
S01005489,428,37,199,141,37,14,654
S01005490,312,46,149,85,22,10,436
S01005491,370,42,168,119,27,14,549
S01005492,407,67,172,123,35,10,569
S01005493,306,32,137,106,21,10,458
S01005494,339,41,145,118,26,9,498
S01005495,307,40,116,102,30,19,489
S01005496,437,41,197,149,32,18,667
S01005497,338,14,139,153,20,12,556
S01005498,448,121,187,108,22,10,514
S01005499,276,104,117,42,8,5,248
S01005500,306,64,147,68,19,8,378
S01005501,447,96,184,132,26,9,563
S01005502,418,112,201,91,11,3,428
S01005503,279,77,128,62,8,4,292
S01005504,312,117,140,45,6,4,264
S01005505,287,102,118,53,9,5,271
S01005506,432,168,187,66,7,4,357
S01005507,274,88,132,42,10,2,257
S01005508,359,118,167,62,11,1,328
S01005509,258,20,112,97,22,7,401
S01005510,274,10,97,126,29,12,491
S01005511,250,17,87,103,32,11,441
S01005512,311,49,128,91,28,15,464
S01005513,335,43,133,113,33,13,511
S01005514,260,23,109,83,31,14,432
S01005515,203,23,82,62,27,9,323
S01005516,216,24,81,76,23,12,360
S01005517,410,66,183,117,32,12,564
S01005518,420,47,165,157,33,18,668
S01005519,281,37,118,85,29,12,424
S01005520,419,63,161,137,41,17,627
S01005521,341,77,136,95,19,14,444
S01005522,299,52,157,64,16,10,379
S01005523,343,34,153,121,28,7,511
S01005524,313,35,133,113,22,10,466
S01005525,286,68,137,67,11,3,316
S01005526,300,125,129,41,3,2,230
S01005527,237,115,96,21,3,2,156
S01005528,286,87,144,49,4,2,262
S01005529,414,126,191,81,12,4,406
S01005530,307,147,128,29,3,0,195
S01005531,277,80,146,40,10,1,260
S01005532,392,137,165,67,18,5,378
S01005533,352,100,165,71,14,2,357
S01005534,305,99,138,57,8,3,288
S01005535,362,100,162,70,18,12,406
S01005536,387,38,142,159,37,11,616
S01005537,325,47,164,82,28,4,428
S01005538,346,44,130,113,45,14,552
S01005539,402,51,194,117,29,11,567
S01005540,345,129,152,50,9,5,299
S01005541,311,124,134,40,11,2,261
S01005542,336,93,154,71,15,3,353
S01005543,355,117,152,72,10,4,343
S01005544,334,114,144,59,15,2,315
S01005545,481,72,188,159,46,16,713
S01005546,313,36,106,130,26,15,511
S01005547,423,34,190,156,33,10,647
S01005548,475,34,182,194,52,13,796
S01005549,613,68,253,230,47,15,933
S01005550,246,12,81,119,25,9,434
S01005551,380,18,134,186,32,10,645
S01005552,300,10,131,136,17,6,478
S01005553,330,13,137,146,22,12,548
S01005554,301,30,150,98,18,5,422
S01005555,322,20,80,182,33,7,572
S01005556,301,40,174,72,12,3,366
S01005557,286,86,134,55,10,1,278
S01005558,317,27,158,109,17,6,451
S01005559,255,94,121,33,6,1,209
S01005560,256,91,115,41,7,2,226
S01005561,354,26,150,138,33,7,555
S01005562,397,32,192,135,29,9,587
S01005563,386,170,154,52,10,0,288
S01005564,352,22,143,136,38,13,583
S01005565,242,29,106,91,13,3,343
S01005566,252,56,140,42,10,4,275
S01005567,492,168,217,82,20,5,461
S01005568,250,80,107,43,19,1,254
S01005569,271,23,104,104,30,10,443
S01005570,316,73,155,74,10,4,349
S01005571,261,21,118,95,22,5,394
S01005572,333,35,145,126,21,6,486
S01005573,307,69,167,61,8,2,321
S01005574,368,113,148,82,18,7,405
S01005575,283,23,132,101,25,2,417
S01005576,349,81,174,66,21,7,402
S01005577,384,51,190,112,22,9,518
S01005578,422,115,211,78,14,4,433
S01005579,368,25,145,145,37,16,619
S01005580,268,41,134,73,15,5,346
S01005581,371,126,160,73,9,3,348
S01005582,366,70,164,115,15,2,447
S01005583,300,48,160,78,9,5,363
S01005584,218,15,90,88,19,6,349
S01005585,570,342,178,38,9,3,304
S01005586,439,179,178,62,17,3,366
S01005587,425,134,205,74,10,2,391
S01005588,409,216,138,47,7,1,257
S01005589,758,264,390,92,12,0,610
S01005590,490,331,129,24,6,0,195
S01005591,454,199,175,69,11,0,346
S01005592,245,165,61,16,0,3,105
S01005593,314,113,139,47,12,3,294
S01005594,606,364,197,42,3,0,290
S01005595,343,168,125,41,9,0,234
S01005596,231,113,90,22,4,2,155
S01005597,515,235,195,68,15,2,386
S01005598,553,323,201,17,9,3,274
S01005599,282,118,113,41,7,3,228
S01005600,360,204,122,25,6,3,202
S01005601,315,93,149,58,11,4,316
S01005602,308,151,117,30,10,0,207
S01005603,277,92,139,40,6,0,237
S01005604,217,103,86,21,6,1,150
S01005605,483,188,202,82,10,1,404
S01005606,306,98,140,55,10,3,296
S01005607,316,91,152,69,2,2,304
S01005608,381,65,201,98,14,3,452
S01005609,410,117,189,90,13,1,412
S01005610,256,66,110,66,12,2,289
S01005611,304,140,119,33,10,2,223
S01005612,335,12,181,124,16,2,487
S01005613,399,127,185,77,7,3,372
S01005614,312,76,144,67,19,6,361
S01005615,482,177,213,74,14,4,422
S01005616,301,75,144,66,13,3,328
S01005617,334,117,136,65,13,3,319
S01005618,319,134,133,44,6,2,258
S01005619,234,27,107,84,13,3,327
S01005620,241,67,114,41,14,5,258
S01005621,286,94,118,60,12,2,284
S01005622,400,74,174,128,16,8,513
S01005623,342,95,151,79,14,3,363
S01005624,360,39,160,125,33,3,522
S01005625,385,78,180,101,23,3,464
S01005626,337,91,161,62,21,2,356
S01005627,285,54,137,75,11,8,359
S01005628,476,116,215,114,25,6,542
S01005629,334,39,151,115,22,7,475
S01005630,279,90,124,53,8,4,272
S01005631,315,65,148,84,13,5,376
S01005632,270,75,131,52,11,1,273
S01005633,349,117,144,76,11,1,337
S01005634,341,68,168,91,11,3,396
S01005635,345,60,147,116,19,3,448
S01005636,406,103,189,94,17,3,443
S01005637,454,78,191,150,27,8,608
S01005638,496,111,263,105,14,3,528
S01005639,299,102,125,58,14,0,283
S01005640,294,45,123,102,17,7,406
S01005641,442,73,171,144,37,17,644
S01005642,315,16,118,131,35,15,555
S01005643,281,47,114,104,12,4,375
S01005644,271,14,102,112,34,9,464
S01005645,373,58,168,125,21,1,486
S01005646,445,175,215,48,5,2,334
S01005647,379,93,184,80,16,6,418
S01005648,380,58,162,125,28,7,528
S01005649,557,179,289,78,9,2,480
S01005650,251,85,109,51,6,0,229
S01005651,434,175,208,38,12,1,325
S01005652,276,25,100,107,31,13,465
S01005653,345,85,151,89,18,2,391
S01005654,365,116,168,72,9,0,339
S01005655,465,48,212,175,22,8,663
S01005656,457,209,199,42,5,2,306
S01005657,264,82,123,48,8,3,255
S01005658,319,23,143,123,26,4,483
S01005659,352,27,151,137,32,5,541
S01005660,279,102,127,43,4,3,237
S01005661,276,31,134,103,5,3,369
S01005662,221,10,82,101,24,4,372
S01005663,249,27,90,96,33,3,393
S01005664,211,15,96,86,13,1,313
S01005665,190,15,89,74,9,3,276
S01005666,555,133,225,164,29,4,656
S01005667,312,42,127,109,27,7,459
S01005668,322,51,141,104,19,7,434
S01005669,221,24,89,77,23,8,345
S01005670,338,51,152,101,22,12,479
S01005671,224,23,95,70,21,15,368
S01005672,365,127,160,67,8,3,331
S01005673,289,23,130,108,19,9,442
S01005674,406,120,175,88,15,8,437
S01005675,439,144,204,74,12,5,410
S01005676,360,117,143,78,20,2,367
S01005677,325,12,111,140,48,14,596
S01005678,359,24,158,124,30,23,595
S01005679,484,154,203,98,21,8,496
S01005680,306,18,105,123,36,24,561
S01005681,463,118,187,127,23,8,542
S01005682,370,56,182,107,18,7,492
S01005683,380,182,142,43,10,3,270
S01005684,500,138,221,121,18,2,525
S01005685,272,7,83,122,39,21,541
S01005686,368,104,132,98,29,5,442
S01005687,304,10,128,112,36,18,545
S01005688,405,54,169,160,15,7,564
S01005689,197,9,69,89,21,9,356
S01005690,336,45,153,99,29,10,481
S01005691,283,33,104,110,30,6,441
S01005692,287,33,120,91,34,9,445
S01005693,588,53,218,252,52,13,935
S01005694,229,75,100,45,7,2,219
S01005695,241,59,120,47,12,3,266
S01005696,267,60,110,72,18,7,338
S01005697,327,135,134,49,7,2,261
S01005698,266,38,117,81,20,10,390
S01005699,508,214,197,79,16,2,411
S01005700,219,28,102,73,12,4,300
S01005701,366,172,139,48,7,0,256
S01005702,339,84,174,67,8,6,358
S01005703,230,16,83,96,22,13,395
S01005704,320,115,141,56,7,1,278
S01005705,365,27,138,129,52,19,645
S01005706,325,32,142,120,23,8,484
S01005707,295,118,127,39,8,3,244
S01005708,334,112,146,65,7,4,315
S01005709,334,83,154,79,15,3,369
S01005710,201,20,78,77,17,9,319
S01005711,434,65,181,150,31,7,606
S01005712,263,83,119,44,15,2,260
S01005713,277,60,129,70,11,7,331
S01005714,521,72,213,183,44,9,752
S01005715,341,89,145,90,13,4,381
S01005716,235,17,101,96,14,7,365
S01005717,216,25,112,61,14,4,294
S01005718,449,119,221,87,16,6,469
S01005719,185,9,62,87,22,5,323
S01005720,296,24,104,131,31,6,483
S01005721,331,110,117,77,19,8,362
S01005722,202,16,85,86,11,4,306
S01005723,334,94,119,92,21,8,401
S01005724,223,7,71,103,32,10,416
S01005725,331,57,141,91,30,12,469
S01005726,430,60,144,168,36,22,688
S01005727,519,35,185,256,36,7,835
S01005728,307,60,142,83,19,3,387
S01005729,256,82,120,47,6,1,237
S01005730,326,80,139,92,11,4,373
S01005731,372,106,147,97,17,5,413
S01005732,404,116,201,68,16,3,397
S01005733,298,45,102,128,19,4,431
S01005734,306,45,116,108,28,9,458
S01005735,268,21,108,113,21,5,417
S01005736,315,61,122,97,27,8,432
S01005737,326,86,139,78,15,8,374
S01005738,363,111,120,96,26,10,434
S01005739,313,23,103,135,38,14,548
S01005740,325,20,106,128,54,17,606
S01005741,429,68,145,159,44,13,648
S01005742,384,56,128,142,40,18,611
S01005743,400,8,94,231,52,15,776
S01005744,388,112,180,84,9,3,388
S01005745,454,114,180,112,30,18,569
S01005746,320,28,125,121,33,13,523
S01005747,352,52,164,106,24,6,472
S01005748,329,156,133,31,7,2,224
S01005749,339,41,139,120,30,9,514
S01005750,294,59,135,83,14,3,355
S01005751,312,48,140,93,28,3,422
S01005752,284,125,122,30,7,0,203
S01005753,287,66,131,72,14,4,333
S01005754,455,82,211,123,28,11,592
S01005755,346,138,166,36,5,1,258
S01005756,383,127,187,58,10,1,337
S01005757,240,116,93,27,4,0,159
S01005758,358,102,156,79,10,11,389
S01005759,361,166,133,48,10,4,276
S01005760,249,28,122,73,18,8,354
S01005761,302,28,144,103,21,6,437
S01005762,337,143,146,42,4,2,252
S01005763,933,101,330,394,86,22,1470
S01005764,279,127,103,34,9,6,222
S01005765,425,140,204,63,13,5,393
S01005766,330,68,153,80,19,10,416
S01005767,308,39,137,105,20,7,436
S01005768,401,138,156,78,24,5,404
S01005769,347,139,145,53,8,2,283
S01005770,329,135,131,50,12,1,271
S01005771,296,21,147,101,23,4,434
S01005772,295,41,130,94,24,6,418
S01005773,357,30,147,138,38,4,554
S01005774,275,55,149,57,11,3,308
S01005775,370,143,175,43,7,2,291
S01005776,301,34,151,89,19,8,424
S01005777,240,64,116,44,10,6,262
S01005778,337,112,148,66,8,3,317
S01005779,326,35,151,102,29,9,484
S01005780,475,7,160,249,48,11,851
S01005781,462,123,227,81,27,4,491
S01005782,405,145,189,61,8,2,343
S01005783,209,35,68,74,24,8,328
S01005784,229,35,95,80,18,1,313
S01005785,293,10,103,144,32,4,503
S01005786,236,63,113,49,10,1,245
S01005787,262,40,116,91,14,1,344
S01005788,272,96,126,42,7,1,235
S01005789,331,49,161,98,17,6,436
S01005790,183,43,92,35,12,1,202
S01005791,212,46,86,68,8,4,262
S01005792,299,98,132,49,14,6,297
S01005793,206,32,85,74,12,3,283
S01005794,424,68,197,113,36,10,579
S01005795,271,74,135,52,7,3,272
S01005796,432,42,139,198,41,12,710
S01005797,366,13,153,175,20,5,584
S01005798,266,94,119,47,4,2,233
S01005799,306,111,131,52,9,3,290
S01005800,288,51,149,63,18,7,360
S01005801,246,51,114,54,23,4,308
S01005802,327,19,92,138,52,26,649
S01005803,329,101,162,55,10,1,308
S01005804,1372,108,449,688,100,27,2240
S01005805,205,23,60,100,17,5,332
S01005806,347,94,164,74,12,3,360
S01005807,334,107,164,51,9,3,305
S01005808,287,82,140,54,8,3,284
S01005809,224,33,110,67,14,0,286
S01005810,210,71,96,38,5,0,187
S01005811,229,75,119,28,5,2,198
S01005812,228,22,108,79,17,2,325
S01005813,335,91,164,64,15,1,342
S01005814,329,125,141,50,12,1,281
S01005815,446,171,187,75,11,2,378
S01005816,414,105,172,113,18,6,476
S01005817,200,14,91,78,13,4,307
S01005818,257,13,89,126,24,5,435
S01005819,297,111,113,58,13,2,276
S01005820,311,99,153,51,7,1,280
S01005821,220,86,84,39,5,6,204
S01005822,383,123,174,80,5,1,357
S01005823,229,40,95,72,20,2,307
S01005824,249,9,107,100,29,4,410
S01005825,322,107,165,44,4,2,273
S01005826,322,9,131,137,33,12,560
S01005827,292,37,125,102,23,5,418
S01005828,347,125,156,55,9,2,301
S01005829,326,58,163,80,20,5,405
S01005830,482,195,226,51,7,3,362
S01005831,475,62,223,144,36,10,663
S01005832,332,141,137,44,10,0,255
S01005833,284,72,132,60,18,2,314
S01005834,303,147,109,41,6,0,209
S01005835,282,28,118,94,32,10,444
S01005836,236,9,87,101,27,12,428
S01005837,173,12,68,77,9,7,278
S01005838,284,51,139,67,20,7,364
S01005839,330,92,148,71,17,2,349
S01005840,351,122,167,49,11,2,306
S01005841,279,82,139,51,5,2,264
S01005842,253,88,115,41,6,3,229
S01005843,256,11,91,110,27,17,475
S01005844,306,69,154,70,10,3,336
S01005845,194,28,86,68,9,3,264
S01005846,502,248,189,53,11,1,333
S01005847,380,164,147,58,9,2,298
S01005848,266,119,112,31,3,1,188
S01005849,345,93,163,68,14,7,371
S01005850,371,118,151,74,22,6,392
S01005851,376,162,165,40,9,0,272
S01005852,243,71,124,42,5,1,227
S01005853,458,182,199,60,13,4,376
S01005854,335,106,161,50,16,2,318
S01005855,435,209,163,50,12,1,303
S01005856,356,140,152,56,8,0,288
S01005857,356,136,136,68,14,2,322
S01005858,292,86,149,51,5,1,270
S01005859,333,85,167,60,17,4,357
S01005860,394,162,167,59,5,1,304
S01005861,273,5,76,152,30,10,513
S01005862,339,85,174,67,13,0,347
