"dz_2011","total","house","flat","caravan","shared"
"S01007157",524,499,25,0,0
"S01007158",758,744,14,0,0
"S01007159",781,546,235,0,0
"S01007160",702,669,33,0,0
"S01007161",623,568,53,0,2
"S01007162",322,187,135,0,0
"S01007163",909,892,15,2,0
"S01007164",604,520,81,0,3
"S01007165",731,613,118,0,0
"S01007166",641,590,51,0,0
"S01007167",917,890,27,0,0
"S01007168",1065,1062,3,0,0
"S01007169",683,600,83,0,0
"S01007170",595,589,0,6,0
"S01007171",636,563,36,37,0
"S01007172",769,744,13,12,0
"S01007173",632,609,23,0,0
"S01007174",585,574,10,1,0
"S01007175",634,624,10,0,0
"S01007176",714,592,122,0,0
"S01007177",624,370,254,0,0
"S01007178",1005,508,497,0,0
"S01007179",967,949,18,0,0
"S01007180",782,710,72,0,0
"S01007181",791,709,82,0,0
"S01007182",997,667,330,0,0
"S01007183",999,695,304,0,0
"S01007184",995,507,488,0,0
"S01007185",714,249,465,0,0
"S01007186",458,195,257,1,5
"S01007187",773,245,497,0,31
"S01007188",514,204,310,0,0
"S01007189",764,362,402,0,0
"S01007190",786,773,13,0,0
"S01007191",604,535,69,0,0
"S01007192",637,408,228,1,0
"S01007193",780,746,31,3,0
"S01007194",629,276,351,2,0
"S01007195",559,400,159,0,0
"S01007196",547,351,196,0,0
"S01007197",408,186,222,0,0
"S01007198",411,194,217,0,0
"S01007199",822,288,534,0,0
"S01007200",931,811,120,0,0
"S01007201",732,587,145,0,0
"S01007202",822,685,137,0,0
"S01007203",678,669,9,0,0
"S01007204",854,828,25,1,0
"S01007205",623,600,23,0,0
"S01007206",259,170,89,0,0
"S01007207",1019,809,210,0,0
"S01007208",885,199,684,2,0
"S01007209",553,194,355,1,3
"S01007210",655,249,406,0,0
"S01007211",697,363,334,0,0
"S01007212",606,362,244,0,0
"S01007213",737,498,239,0,0
"S01007214",685,182,503,0,0
"S01007215",804,401,401,2,0
"S01007216",748,573,159,16,0
"S01007217",896,788,107,1,0
"S01007218",680,675,5,0,0
"S01007219",772,631,141,0,0
"S01007220",724,602,122,0,0
"S01007221",205,136,3,66,0
"S01007222",879,843,36,0,0
"S01007223",490,488,2,0,0
"S01007224",586,529,57,0,0
"S01007225",824,800,24,0,0
"S01007226",692,690,2,0,0
"S01007227",820,753,66,1,0
"S01007228",611,603,5,3,0
"S01007229",1071,1013,58,0,0
"S01007230",746,321,412,13,0
"S01007231",639,260,378,1,0
"S01007232",587,277,310,0,0
"S01007233",745,561,182,2,0
"S01007234",623,527,94,2,0
"S01007235",731,324,407,0,0
"S01007236",642,447,195,0,0
"S01007237",713,636,77,0,0
"S01007238",898,793,105,0,0
"S01007239",720,666,54,0,0
"S01007240",589,587,2,0,0
"S01007241",628,620,8,0,0
"S01007242",940,890,50,0,0
"S01007243",558,539,17,2,0
"S01007244",635,623,12,0,0
"S01007245",675,644,28,3,0
"S01007246",632,612,20,0,0
"S01007247",606,581,21,4,0
"S01007248",565,548,17,0,0
"S01007249",352,331,21,0,0
"S01007250",751,503,248,0,0
"S01007251",318,206,112,0,0
"S01007252",692,605,87,0,0
"S01007253",635,578,57,0,0
"S01007254",723,406,316,1,0
"S01007255",797,397,400,0,0
"S01007256",678,387,289,0,2
"S01007257",578,214,364,0,0
"S01007258",704,403,301,0,0
"S01007259",823,627,196,0,0
"S01007260",910,751,158,1,0
"S01007261",826,783,43,0,0
"S01007262",737,624,113,0,0
"S01007263",877,769,108,0,0
"S01007264",778,688,89,1,0
"S01007265",1052,639,413,0,0
"S01007266",690,585,104,1,0
"S01007267",499,496,3,0,0
"S01007268",582,575,5,2,0
"S01007269",493,489,4,0,0
"S01007270",634,614,6,14,0
"S01007271",780,646,134,0,0
"S01007272",1089,638,451,0,0
"S01007273",566,421,145,0,0
"S01007274",785,525,257,3,0
"S01007275",589,487,102,0,0
"S01007276",785,685,100,0,0
"S01007277",574,572,2,0,0
"S01007278",593,592,0,1,0
"S01007279",557,534,14,9,0
"S01007280",541,523,16,2,0
"S01007281",779,767,9,3,0
"S01007282",534,523,10,1,0
"S01007283",864,801,63,0,0
"S01007284",880,831,27,22,0
"S01007285",798,719,55,24,0
"S01007286",826,631,191,4,0
"S01007287",441,385,22,23,11
"S01007288",420,399,15,6,0
"S01007289",823,746,76,1,0
"S01007290",94,65,29,0,0
"S01007291",482,303,179,0,0
"S01007292",757,677,80,0,0
"S01007293",914,315,599,0,0
"S01007294",754,263,491,0,0
"S01007295",544,152,392,0,0
"S01007296",560,58,502,0,0
"S01007297",682,387,295,0,0
"S01007298",551,372,179,0,0
"S01007299",828,420,398,2,8
