output_area,total,llti,no_llti
S00089594,82,5,77
S00089595,143,24,119
S00089596,100,18,82
S00089597,128,18,110
S00089598,58,12,46
S00089599,130,22,108
S00089600,53,9,44
S00089601,71,10,61
S00089602,123,24,99
S00089603,91,21,70
S00089604,75,10,65
S00089605,139,28,111
S00089606,125,24,101
S00089607,148,6,142
S00089608,61,29,32
S00089609,105,11,94
S00089610,134,31,103
S00089611,85,25,60
S00089612,93,16,77
S00089613,62,17,45
S00089614,175,22,153
S00089615,122,26,96
S00089616,125,20,105
S00089617,156,12,144
S00089618,118,12,106
S00089619,132,9,123
S00089620,153,17,136
S00089621,51,31,20
S00089622,84,20,64
S00089623,104,23,81
S00089624,75,7,68
S00089625,112,9,103
S00089626,157,11,146
S00089627,70,8,62
S00089628,112,10,102
S00089629,169,18,151
S00089630,107,21,86
S00089631,115,24,91
S00089632,111,12,99
S00089633,409,44,365
S00089634,105,15,90
S00089635,60,2,58
S00089636,124,19,105
S00089637,60,6,54
S00089638,101,7,94
S00089639,94,4,90
S00089640,122,13,109
S00089641,61,9,52
S00089642,68,6,62
S00089643,132,13,119
S00089644,181,20,161
S00089645,160,21,139
S00089646,131,38,93
S00089647,148,7,141
S00089648,66,4,62
S00089649,107,33,74
S00089650,134,14,120
S00089651,400,26,374
S00089652,145,12,133
S00089653,114,11,103
S00089654,103,8,95
S00089655,84,5,79
S00089656,85,2,83
S00089657,73,7,66
S00089658,121,8,113
S00089659,218,11,207
S00089660,129,8,121
S00089661,126,19,107
S00089662,95,20,75
S00089663,117,8,109
S00089664,68,8,60
S00089665,102,4,98
S00089666,90,3,87
S00089667,60,6,54
S00089668,89,21,68
S00089669,134,9,125
S00089670,74,2,72
S00089671,316,19,297
S00089672,116,40,76
S00089673,100,50,50
S00089674,138,13,125
S00089675,136,5,131
S00089676,70,8,62
S00089677,120,13,107
S00089678,69,7,62
S00089679,138,21,117
S00089680,118,13,105
S00089681,145,15,130
S00089682,64,6,58
S00089683,78,7,71
S00089684,77,12,65
S00089685,120,13,107
S00089686,63,2,61
S00089687,80,4,76
S00089688,99,14,85
S00089689,58,18,40
S00089690,151,19,132
S00089691,135,31,104
S00089692,59,7,52
S00089693,65,2,63
S00089694,116,1,115
S00089695,118,7,111
S00089696,138,11,127
S00089697,86,4,82
S00089698,103,9,94
S00089699,74,3,71
S00089700,120,10,110
S00089701,85,14,71
S00089702,73,4,69
S00089703,145,14,131
S00089704,115,11,104
S00089705,112,14,98
S00089706,136,15,121
S00089707,97,51,46
S00089708,57,15,42
S00089709,93,11,82
S00089710,132,34,98
S00089711,139,35,104
S00089712,113,17,96
S00089713,105,20,85
S00089714,154,13,141
S00089715,103,10,93
S00089716,128,91,37
S00089717,128,19,109
S00089718,168,13,155
S00089719,189,19,170
