output_area,total,scotland,ruk,elsewhere
60QA000875,111,98,7,6
60QA000876,99,83,7,9
60QA000877,87,77,7,3
60QA000878,65,61,1,3
60QA000879,358,323,17,18
60QA000880,111,100,8,3
60QA000881,103,75,16,12
60QA000882,72,60,11,1
60QA000883,86,76,8,2
60QA000884,116,104,4,8
60QA000885,138,129,6,3
60QA000886,127,113,6,8
60QA000887,115,98,10,7
60QA000888,101,86,8,7
60QA000889,161,138,16,7
60QA000890,152,128,12,12
60QA000891,109,97,9,3
60QA000892,127,116,8,3
60QA000893,90,82,4,4
60QA000894,106,99,5,2
60QA000895,66,58,4,4
60QA000896,166,156,6,4
60QA000897,170,158,6,6
60QA000898,167,157,8,2
60QA000899,91,71,5,15
60QA000900,92,81,9,2
60QA000901,111,96,8,7
60QA000902,119,109,4,6
60QA000903,115,104,4,7
60QA000904,84,65,16,3
60QA000905,159,151,7,1
60QA000906,98,93,4,1
60QA000907,88,84,3,1
60QA000908,98,91,5,2
60QA000909,87,80,5,2
60QA000910,101,95,4,2
60QA000911,123,118,5,0
60QA000912,98,95,3,0
60QA000913,126,119,6,1
60QA000914,117,108,9,0
60QA000915,101,90,9,2
60QA000916,103,99,2,2
60QA000917,138,128,9,1
60QA000918,102,95,7,0
60QA000919,88,79,6,3
60QA000920,144,134,8,2
60QA000921,73,69,1,3
60QA000922,79,69,8,2
60QA000923,105,97,7,1
60QA000924,144,139,4,1
60QA000925,117,103,13,1
60QA000926,114,108,3,3
60QA000927,65,62,2,1
60QA000928,99,93,3,3
60QA000929,77,69,6,2
60QA000930,354,309,28,17
60QA000931,95,83,5,7
60QA000932,131,110,13,8
60QA000933,125,116,8,1
60QA000934,114,108,6,0
60QA000935,98,88,10,0
60QA000936,146,134,8,4
60QA000937,70,62,7,1
60QA000938,131,117,11,3
60QA000939,203,190,9,4
60QA000940,62,60,2,0
60QA000941,116,101,13,2
60QA000942,120,118,2,0
60QA000943,112,100,10,2
60QA000944,94,90,4,0
60QA000945,105,92,11,2
60QA000946,71,64,5,2
60QA000947,100,95,3,2
60QA000948,95,92,2,1
60QA000949,168,158,8,2
60QA000950,172,157,7,8
60QA000951,133,129,3,1
60QA000952,102,98,2,2
60QA000953,97,87,4,6
60QA000954,117,111,3,3
60QA000955,162,154,5,3
60QA000956,99,95,4,0
60QA000957,122,118,4,0
60QA000958,110,100,6,4
60QA000959,127,120,7,0
60QA000960,107,105,1,1
60QA000961,108,105,3,0
60QA000962,141,128,12,1
60QA000963,104,101,2,1
60QA000964,98,97,1,0
60QA000965,55,53,2,0
60QA000966,126,118,6,2
60QA000967,88,82,6,0
60QA000968,108,103,5,0
60QA000969,121,114,6,1
60QA000970,87,83,3,1
60QA000971,87,84,2,1
60QA000972,130,126,1,3
60QA000973,122,116,5,1
60QA000974,98,92,6,0
60QA000975,118,112,6,0
60QA000976,157,147,4,6
60QA000977,198,152,19,27
60QA000978,86,47,16,23
60QA000979,61,35,14,12
60QA000980,120,106,8,6
60QA000981,121,105,6,10
60QA000982,111,89,7,15
60QA000983,108,96,9,3
60QA000984,87,76,11,0
60QA000985,100,96,4,0
60QA000986,103,99,3,1
60QA000987,138,134,3,1
60QA000988,66,62,4,0
60QA000989,91,83,7,1
60QA000990,196,184,9,3
60QA000991,90,82,6,2
