"output_area","All people aged 16 to 74","Economically active","Economically active: Employee: Part-time","Economically active: Employee: Full-time","Economically active: Self-employed with employees: Part-time","Economically active: Self-employed with employees: Full-time","Economically active: Self-employed without employees: Part-time","Economically active: Self-employed without employees: Full-time","Economically active: Unemployed","Economically active: Full-time student","Economically inactive","Economically inactive: Retired","Economically inactive: Student","Economically inactive: Looking after home or family","Economically inactive: Long-term sick or disabled","Economically inactive: Other"
"S00089274",115,98,9,71,0,3,1,6,2,6,17,6,6,3,0,2
"S00089275",19,2,1,1,0,0,0,0,0,0,17,15,0,0,1,1
"S00089276",56,44,7,28,0,0,2,2,2,3,12,4,4,0,3,1
"S00089277",126,101,13,62,1,6,6,4,4,5,25,14,4,5,1,1
"S00089278",20,2,0,2,0,0,0,0,0,0,18,17,0,0,1,0
"S00089279",53,47,10,29,0,1,2,1,1,3,6,2,1,1,0,2
"S00089280",44,34,7,21,0,0,0,3,0,3,10,9,0,1,0,0
"S00089281",67,59,5,41,0,2,0,3,2,6,8,3,3,1,0,1
"S00089282",45,40,11,23,1,0,0,4,1,0,5,2,0,1,2,0
"S00089283",44,36,3,25,0,0,0,2,0,6,8,6,2,0,0,0
"S00089284",85,58,13,35,0,2,0,4,2,2,27,24,1,1,0,1
"S00089285",116,95,8,76,0,0,0,5,1,5,21,12,4,4,1,0
"S00089286",99,82,10,49,0,0,1,1,5,16,17,2,11,3,0,1
"S00089287",50,17,6,8,0,0,1,2,0,0,33,32,0,0,1,0
"S00089288",124,62,8,22,0,1,1,0,2,28,62,18,34,3,7,0
